cluster_id,group,cluster_size,image,representative,score_to_representative
stroller_reviewed_window10_000057,stroller_reviewed,2,images/07004_1784527417640720_0.jpg,images/07004_1784527417640720_0.jpg,1.00000000
stroller_reviewed_window10_000057,stroller_reviewed,2,images/07033_1784527477801721_0.jpg,images/07004_1784527417640720_0.jpg,0.99258149
stroller_reviewed_window10_000058,stroller_reviewed,2,images/02643_1784372088253745_0.jpg,images/02643_1784372088253745_0.jpg,1.00000000
stroller_reviewed_window10_000058,stroller_reviewed,2,images/02644_1784372101925746_0.jpg,images/02643_1784372088253745_0.jpg,0.99246538
stroller_reviewed_window10_000059,stroller_reviewed,2,images/02359_1784277310213597_0.jpg,images/02359_1784277310213597_0.jpg,1.00000000
stroller_reviewed_window10_000059,stroller_reviewed,2,images/02360_1784277310714598_0.jpg,images/02359_1784277310213597_0.jpg,0.99245119
stroller_reviewed_window10_000060,stroller_reviewed,2,images/02729_1784430121075651_0.jpg,images/02729_1784430121075651_0.jpg,1.00000000
stroller_reviewed_window10_000060,stroller_reviewed,2,images/02730_1784430136138654_0.jpg,images/02729_1784430121075651_0.jpg,0.99232364
stroller_reviewed_window10_000061,stroller_reviewed,2,images/03120_1784450279730516_0.jpg,images/03120_1784450279730516_0.jpg,1.00000000
stroller_reviewed_window10_000061,stroller_reviewed,2,images/03121_1784450280022517_0.jpg,images/03120_1784450279730516_0.jpg,0.99228561
stroller_reviewed_window10_000062,stroller_reviewed,2,images/01147_1783670558300987_0.jpg,images/01147_1783670558300987_0.jpg,1.00000000
stroller_reviewed_window10_000062,stroller_reviewed,2,images/01149_1783670678603004_0.jpg,images/01147_1783670558300987_0.jpg,0.99192083
stroller_reviewed_window10_000063,stroller_reviewed,2,images/02402_1784292449849528_0.jpg,images/02402_1784292449849528_0.jpg,1.00000000
stroller_reviewed_window10_000063,stroller_reviewed,2,images/02403_1784292450899530_0.jpg,images/02402_1784292449849528_0.jpg,0.99131644
stroller_reviewed_window10_000064,stroller_reviewed,2,images/07914_1784529327673753_0.jpg,images/07914_1784529327673753_0.jpg,1.00000000
stroller_reviewed_window10_000064,stroller_reviewed,2,images/07942_1784529387845754_0.jpg,images/07914_1784529327673753_0.jpg,0.99107629
stroller_reviewed_window10_000065,stroller_reviewed,2,images/02356_1784277280109591_0.jpg,images/02356_1784277280109591_0.jpg,1.00000000
stroller_reviewed_window10_000065,stroller_reviewed,2,images/02357_1784277280615593_0.jpg,images/02356_1784277280109591_0.jpg,0.99103308
stroller_reviewed_window10_000066,stroller_reviewed,2,images/02322_1784277008599537_0.jpg,images/02322_1784277008599537_0.jpg,1.00000000
stroller_reviewed_window10_000066,stroller_reviewed,2,images/02323_1784277008761538_0.jpg,images/02322_1784277008599537_0.jpg,0.99079347
stroller_reviewed_window10_000067,stroller_reviewed,2,images/02246_1784259943549251_0.jpg,images/02246_1784259943549251_0.jpg,1.00000000
stroller_reviewed_window10_000067,stroller_reviewed,2,images/02247_1784259944068253_0.jpg,images/02246_1784259943549251_0.jpg,0.99077141
stroller_reviewed_window10_000068,stroller_reviewed,2,images/02563_1784358136395988_0.jpg,images/02563_1784358136395988_0.jpg,1.00000000
stroller_reviewed_window10_000068,stroller_reviewed,2,images/02564_1784358151418991_0.jpg,images/02563_1784358136395988_0.jpg,0.99054718
stroller_reviewed_window10_000069,stroller_reviewed,2,images/00889_1783304549616241_0.jpg,images/00889_1783304549616241_0.jpg,1.00000000
stroller_reviewed_window10_000069,stroller_reviewed,2,images/00893_1783305194770334_0.jpg,images/00889_1783304549616241_0.jpg,0.99021125
